Tournament Name,Game,Genre,Organizer,Frequency,Prize Pool (USD)_Adjusted,Year,Country,Prize Pool (USD)
The International,Dota 2,MOBA,Valve,Annual,3380455,2023,United States,3380455
The International,Dota 2,MOBA,Valve,Annual,2776566,2024,Denmark,2776566
The International,Dota 2,MOBA,Valve,Annual,1600000,2025,Germany,1600000
The International,Dota 2,MOBA,Valve,Annual,3380455,2023,United States,3380455
The International,Dota 2,MOBA,Valve,Annual,2776566,2024,Denmark,2776566
The International,Dota 2,MOBA,Valve,Annual,1600000,2025,Germany,1600000
The International,Dota 2,MOBA,Valve,Annual,3380455,2023,United States,3380455
The International,Dota 2,MOBA,Valve,Annual,2776566,2024,Denmark,2776566
The International,Dota 2,MOBA,Valve,Annual,1600000,2025,Germany,1600000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2023,Canada,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2024,Brazil,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2025,United States,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2023,Canada,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2024,Brazil,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2025,United States,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2023,Canada,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2024,Brazil,3000000
Six Invitational,Rainbow Six Siege,FPS,Ubisoft,Annual,3000000,2025,United States,3000000
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,,2023,United States,
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,,2024,United States,
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,1200000,2025,France,1200000
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,,2023,United States,
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,,2024,United States,
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,1200000,2025,France,1200000
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,,2023,United States,
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,,2024,United States,
RLCS World Championship,Rocket League,Sports,Psyonix / Blast,Annual,1200000,2025,France,1200000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,300000,2023,United States,300000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,500000,2024,United States,500000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,1000000,2025,United States,1000000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,300000,2023,United States,300000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,500000,2024,United States,500000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,1000000,2025,United States,1000000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,300000,2023,United States,300000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,500000,2024,United States,500000
Capcom Cup,Street Fighter,Fighting,Capcom,Annual,1000000,2025,United States,1000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,3000000,2023,Saudi Arabia,3000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,3000000,2024,Saudi Arabia,3000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,4000000,2025,Saudi Arabia,4000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,3000000,2023,Saudi Arabia,3000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,3000000,2024,Saudi Arabia,3000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,4000000,2025,Saudi Arabia,4000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,3000000,2023,Saudi Arabia,3000000
PUBG Mobile World Cup,PUBG Mobile,Battle Royale,Krafton / Level Infinite,Annual,3000000,2024,Saudi Arabia,3000000
