Tournament Name,Year,Game,Genre,Organizer,Frequency,HostCountry,Prize Pool (USD)
Age of Empires II World Championship,2023,Age of Empires II,RTS,Microsoft,Annual,China,98555
Age of Empires II World Championship,2024,Age of Empires II,RTS,Microsoft,Annual,China,85192
Age of Empires II World Championship,2025,Age of Empires II,RTS,Microsoft,Annual,Sweden,79789
Apex Legends Global Series,2023,Apex Legends,Battle Royale,EA / Respawn,Annual,Sweden,2268165
Apex Legends Global Series,2024,Apex Legends,Battle Royale,EA / Respawn,Annual,France,2512308
Apex Legends Global Series,2025,Apex Legends,Battle Royale,EA / Respawn,Annual,France,2976989
Blast Premier Global Finals,2023,CS:GO,FPS,Blast,Annual,Japan,1218454
Blast Premier Global Finals,2024,CS:GO,FPS,Blast,Annual,Sweden,1345146
Blast Premier Global Finals,2025,CS:GO,FPS,Blast,Annual,France,1499833
Brawl Stars World Finals,2023,Brawl Stars,MOBA,Supercell,Annual,Germany,1164663
Brawl Stars World Finals,2024,Brawl Stars,MOBA,Supercell,Annual,Japan,1366068
Brawl Stars World Finals,2025,Brawl Stars,MOBA,Supercell,Annual,Canada,1656515
CS:GO Major Championships,2023,CS:GO,FPS,Valve / ESL,Biannual,Brazil,1128629
CS:GO Major Championships,2024,CS:GO,FPS,Valve / ESL,Biannual,Sweden,1273811
CS:GO Major Championships,2025,CS:GO,FPS,Valve / ESL,Biannual,Germany,1308353
Call of Duty League Championship,2023,Call of Duty,FPS,Activision,Annual,United States,2784794
Call of Duty League Championship,2024,Call of Duty,FPS,Activision,Annual,United States,3391216
Call of Duty League Championship,2025,Call of Duty,FPS,Activision,Annual,United States,3738716
Capcom Cup,2023,Street Fighter,Fighting,Capcom,Annual,United States,300000
Capcom Cup,2024,Street Fighter,Fighting,Capcom,Annual,United States,500000
Capcom Cup,2025,Street Fighter,Fighting,Capcom,Annual,United States,1000000
Clash Royale League World Finals,2023,Clash Royale,Strategy,Supercell,Annual,France,485400
Clash Royale League World Finals,2024,Clash Royale,Strategy,Supercell,Annual,Germany,566205
Clash Royale League World Finals,2025,Clash Royale,Strategy,Supercell,Annual,China,698502
Counter-Strike 2 Championship 121,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,Brazil,527860
Counter-Strike 2 Championship 121,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,China,625529
Counter-Strike 2 Championship 121,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,Germany,720868
Counter-Strike 2 Championship 125,2023,Counter-Strike 2,FPS,Krafton,Quarterly,South Korea,5316938
Counter-Strike 2 Championship 125,2024,Counter-Strike 2,FPS,Krafton,Quarterly,South Korea,5883074
Counter-Strike 2 Championship 125,2025,Counter-Strike 2,FPS,Krafton,Quarterly,South Korea,7284248
Counter-Strike 2 Championship 135,2023,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,2572038
Counter-Strike 2 Championship 135,2024,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,2378275
Counter-Strike 2 Championship 135,2025,Counter-Strike 2,FPS,Psyonix,Bi-Annual,Saudi Arabia,2349609
Counter-Strike 2 Championship 138,2023,Counter-Strike 2,FPS,Activision,Bi-Annual,Canada,5397484
Counter-Strike 2 Championship 138,2024,Counter-Strike 2,FPS,Activision,Bi-Annual,Canada,6596945
Counter-Strike 2 Championship 138,2025,Counter-Strike 2,FPS,Activision,Bi-Annual,Canada,8248838
Counter-Strike 2 Championship 140,2023,Counter-Strike 2,FPS,Tencent,Annual,India,1251080
Counter-Strike 2 Championship 140,2024,Counter-Strike 2,FPS,Tencent,Annual,India,1505705
Counter-Strike 2 Championship 140,2025,Counter-Strike 2,FPS,Tencent,Annual,India,1628852
Counter-Strike 2 Championship 144,2023,Counter-Strike 2,FPS,Valve,Quarterly,Germany,5660741
Counter-Strike 2 Championship 144,2024,Counter-Strike 2,FPS,Valve,Quarterly,Germany,6344654
Counter-Strike 2 Championship 144,2025,Counter-Strike 2,FPS,Valve,Quarterly,Germany,7678988
Counter-Strike 2 Championship 145,2023,Counter-Strike 2,FPS,Capcom,Quarterly,China,5730562
Counter-Strike 2 Championship 145,2024,Counter-Strike 2,FPS,Capcom,Quarterly,China,6402359
Counter-Strike 2 Championship 145,2025,Counter-Strike 2,FPS,Capcom,Quarterly,China,6515181
Counter-Strike 2 Championship 150,2023,Counter-Strike 2,FPS,Psyonix,Annual,France,245646
Counter-Strike 2 Championship 150,2024,Counter-Strike 2,FPS,Psyonix,Annual,France,232428
Counter-Strike 2 Championship 150,2025,Counter-Strike 2,FPS,Psyonix,Annual,France,218303
Counter-Strike 2 Championship 172,2023,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,5606026
Counter-Strike 2 Championship 172,2024,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,6742279
Counter-Strike 2 Championship 172,2025,Counter-Strike 2,FPS,Krafton,Bi-Annual,France,7673178
Counter-Strike 2 Championship 179,2023,Counter-Strike 2,FPS,Capcom,Annual,France,2178259
Counter-Strike 2 Championship 179,2024,Counter-Strike 2,FPS,Capcom,Annual,France,2035173
Counter-Strike 2 Championship 179,2025,Counter-Strike 2,FPS,Capcom,Annual,France,2182104
Counter-Strike 2 Championship 197,2023,Counter-Strike 2,FPS,EA Sports,Annual,India,4256842
Counter-Strike 2 Championship 197,2024,Counter-Strike 2,FPS,EA Sports,Annual,India,5064377
Counter-Strike 2 Championship 197,2025,Counter-Strike 2,FPS,EA Sports,Annual,India,5831996
Counter-Strike 2 Championship 200,2023,Counter-Strike 2,FPS,Krafton,Quarterly,China,2532484
Counter-Strike 2 Championship 200,2024,Counter-Strike 2,FPS,Krafton,Quarterly,China,2327631
Counter-Strike 2 Championship 200,2025,Counter-Strike 2,FPS,Krafton,Quarterly,China,2104069
