Game,ReleaseDate,Genre,TotalEarnings,PercentOfflineEarnings,TotalPlayers,TotalTour0ments
Age of Empires,1997,Strategy,736284.75,0.7095,624,341
Age of Empires II,1999,Strategy,3898508.73,0.3492,2256,1939
Age of Empires III,2005,Strategy,122256.72,0.3638,172,179
Age of Empires IV,2021,Strategy,1190813.44,0.3688,643,423
Age of Empires Online,2011,Strategy,11462.98,0.0676,52,68
Age of Mythology,2002,Strategy,188619.58,0.4598,236,298
Among Us,2018,Strategy,86000,0,14,8
Auto Chess,2019,Strategy,1163720.28,0.8922,133,52
Brawl Stars,2018,Strategy,8141511.8,0.4727,698,207
Chess.com,2007,Strategy,8609043.36,0.0991,1158,779
chess24,2014,Strategy,4318475.43,0,90,29
chessare0.com,2021,Strategy,263363.64,0.205,134,22
Clash of Clans,2012,Strategy,6085742.37,0.6116,544,81
Clash Royale,2016,Strategy,9059840.93,0.4841,563,132
Clash Royale x Chess,2022,Strategy,0,0,0,0
Command & Conquer 3,2007,Strategy,53086.67,1,9,8
Command & Conquer: Red Alert,1996,Strategy,15000,1,8,1
Company of Heroes 2,2013,Strategy,8561.22,0.9293,11,6
ComPet,2016,Strategy,2000,0,50,1
Dead By Daylight,2016,Strategy,60000,0,35,9
Dead by Daylight Mobile,2020,Strategy,10000,0,0,1
Dota Underlords,2019,Strategy,26024.18,0,62,36
Endgods,2015,Strategy,0,0,0,0
Farming Simulator 19,2018,Strategy,689617.9,0.3315,145,32
Farming Simulator 22,2021,Strategy,181663.39,0.7539,48,8
GeoGuessr,2013,Strategy,74653.5,1,34,2
Grey Goo,2015,Strategy,36400,0.8352,18,5
Heroes of Might and Magic III,1999,Strategy,0,0,0,0
Identity V,2018,Strategy,5796530.92,0.9015,375,29
Internet Chess Club,1995,Strategy,10000,0,6,1
Iron Harvest,2020,Strategy,0,0,0,0
Legion TD 2,2021,Strategy,0,0,0,0
Lichess,2010,Strategy,1308106.01,0,366,183
Loco Dojo Unleashed,2021,Strategy,1000,1,4,1
Men of War: Assault Squad 2,2014,Strategy,0,0,0,0
Multigaming,2000,Strategy,631156.54,0.9092,58,12
Playchess.com,2002,Strategy,32866.58,0,116,9
Pokémon GO,2016,Strategy,557990,0.9893,324,72
Pokémon VGC,2012,Strategy,667352,0.9703,322,48
Prophecy,2020,Strategy,13000,0,27,4
Rise of 0tions: Rise of Legends,2006,Strategy,69600,1,8,1
Sea of Thieves,2016,Strategy,1.00E+05,0,67,4
Star Wars: Squadrons,2020,Strategy,800,0,4,1
StarCraft II,2010,Strategy,42692707.57,0.7887,2280,7510
StarCraft: Brood War,1998,Strategy,7555915.68,0.9661,663,542
StarCraft: Evo Complete (Mod),2024,Strategy,21687.9,0,35,10
StarCraft: Remastered,2017,Strategy,5860787.7,0.3343,413,829
Stormgate,2024,Strategy,39778.85,0.3771,89,32
Summoners War: Sky Are0,2014,Strategy,792000,0.6465,33,7
Super Mario Party,2018,Strategy,220,1,4,1
Supreme Commander,2007,Strategy,4901.26,1,0,1
Supreme Commander: Forged Alliance,2007,Strategy,1290.01,1,0,1
Teamfight Tactics,2019,Strategy,8765860.25,0.3753,871,109
Temtem,2022,Strategy,60500,0,35,9
TEPPEN,2019,Strategy,626226.6,0.7293,53,24
The Binding of Isaac,2011,Strategy,15000,0,16,1
Total Annihilation,1997,Strategy,15000,1,2,1
UNO,2016,Strategy,30000,0,28,3
WarCraft III,2002,Strategy,6307153.73,0.8512,768,1550
WarCraft III: Reforged,2020,Strategy,2139958.1,0.2778,197,588
"Warhammer 40,000: Dawn of War",2005,Strategy,79816.5,1,7,3
"Warhammer 40,000: Dawn of War II",2009,Strategy,0,0,0,0
Warparty,2019,Strategy,1175,0,6,2
Windjammers,1994,Strategy,5651.47,0.9134,36,16
World in Conflict,2007,Strategy,293338.23,1,38,11
World of Tanks,2010,Strategy,6205809.8,0.8829,922,94
World of Tanks Blitz,2016,Strategy,63330,0.9474,14,6
ZeroSpace,2024,Strategy,20000,0,11,2
After-H,2019,First-Person Shooter,83863.4,0.7957,106,18
Aim Gods,2020,First-Person Shooter,250000,0,2,1
Aliens versus Predator 2,2001,First-Person Shooter,43500,1,2,2
Alliance of Valiant Arms,2009,First-Person Shooter,0,0,0,0
Archangel Hellfire,2017,First-Person Shooter,5500,0.3636,14,9
Battalion 1944,2018,First-Person Shooter,206654.67,0.6284,135,29
Battlefield 1,2016,First-Person Shooter,0,0,0,0
Battlefield 2,2005,First-Person Shooter,94715.22,1,0,13
Battlefield 2142,2006,First-Person Shooter,18546.14,1,0,4
Battlefield 3,2011,First-Person Shooter,25407.46,1,5,7
Battlefield 4,2013,First-Person Shooter,245766.46,0.8648,204,145
Battlefield Hardline,2015,First-Person Shooter,13463.28,1,20,1
Battlefield V,2018,First-Person Shooter,0,0,0,0
Beat Aim,2019,First-Person Shooter,430,0,12,6
Big Buck Hunter Arcade,2016,First-Person Shooter,76200,1,3,1
Black Squad,2017,First-Person Shooter,8480.72,0,57,17
Blaston,2020,First-Person Shooter,19623.06,0.0907,27,22
Borderlands 3,2019,First-Person Shooter,50000,0,16,1
Brink,2011,First-Person Shooter,21505.82,1,5,1
Call of Duty,2003,First-Person Shooter,54799.77,1,66,4
Call of Duty 2,2005,First-Person Shooter,75090.24,0.9207,53,17
Call of Duty 4: Modern Warfare,2007,First-Person Shooter,425409.27,0.9238,431,87
Call of Duty Online,2013,First-Person Shooter,949542,1,0,8
Call of Duty: Advanced Warfare,2014,First-Person Shooter,2611808.93,0.8682,783,405
Call of Duty: Black Ops,2010,First-Person Shooter,375793.48,0.9233,118,23
Call of Duty: Black Ops 2,2012,First-Person Shooter,1479139.25,0.9668,187,54
Call of Duty: Black Ops 4,2018,First-Person Shooter,6734938.95,0.9846,389,82
