Tournament Name,Year,Game,Genre,Organizer,Frequency,Country,Prize Pool (USD),Prize Pool (USD)_Adjusted
Age of Empires II World Championship,2023,Age of Empires II,RTS,Microsoft,Annual,China,98555.0,98555.0
Age of Empires II World Championship,2024,Age of Empires II,RTS,Microsoft,Annual,China,85192.0,85192.0
Age of Empires II World Championship,2025,Age of Empires II,RTS,Microsoft,Annual,Sweden,79789.0,79789.0
Apex Legends Global Series,2023,Apex Legends,Battle Royale,EA / Respawn,Annual,Sweden,2268165.0,2268165.0
Apex Legends Global Series,2024,Apex Legends,Battle Royale,EA / Respawn,Annual,France,2512308.0,2512308.0
Apex Legends Global Series,2025,Apex Legends,Battle Royale,EA / Respawn,Annual,France,2976989.0,2976989.0
Blast Premier Global Finals,2023,CS:GO,FPS,Blast,Annual,Japan,1218454.0,1218454.0
Blast Premier Global Finals,2024,CS:GO,FPS,Blast,Annual,Sweden,1345146.0,1345146.0
Blast Premier Global Finals,2025,CS:GO,FPS,Blast,Annual,France,1499833.0,1499833.0
Brawl Stars World Finals,2023,Brawl Stars,MOBA,Supercell,Annual,Germany,1164663.0,1164663.0
Brawl Stars World Finals,2024,Brawl Stars,MOBA,Supercell,Annual,Japan,1366068.0,1366068.0
Brawl Stars World Finals,2025,Brawl Stars,MOBA,Supercell,Annual,Canada,1656515.0,1656515.0
CS:GO Major Championships,2023,CS:GO,FPS,Valve / ESL,Biannual,Brazil,1128629.0,1128629.0
CS:GO Major Championships,2024,CS:GO,FPS,Valve / ESL,Biannual,Sweden,1273811.0,1273811.0
CS:GO Major Championships,2025,CS:GO,FPS,Valve / ESL,Biannual,Germany,1308353.0,1308353.0
Call of Duty League Championship,2023,Call of Duty,FPS,Activision,Annual,United States,2784794.0,2784794.0
Call of Duty League Championship,2024,Call of Duty,FPS,Activision,Annual,United States,3391216.0,3391216.0
Call of Duty League Championship,2025,Call of Duty,FPS,Activision,Annual,United States,3738716.0,3738716.0
Capcom Cup,2023,Street Fighter,Fighting,Capcom,Annual,United States,300000.0,300000.0
Capcom Cup,2024,Street Fighter,Fighting,Capcom,Annual,United States,500000.0,500000.0
Capcom Cup,2025,Street Fighter,Fighting,Capcom,Annual,United States,1000000.0,1000000.0
Clash Royale League World Finals,2023,Clash Royale,Strategy,Supercell,Annual,France,485400.0,485400.0
Clash Royale League World Finals,2024,Clash Royale,Strategy,Supercell,Annual,Germany,566205.0,566205.0
Clash Royale League World Finals,2025,Clash Royale,Strategy,Supercell,Annual,China,698502.0,698502.0
