Channel_Name,Country,Primary_Game,Secondary_Game,Subscribers,Total_Views,Video_Count,Avg_Views_Per_Video,Channel_Age_Years,Upload_Freq_Per_Week,Avg_Video_Length_Minutes,Likes_Per_Video_Avg,Comments_Per_Video_Avg,Engagement_Rate_Percent,Language,Top_Video_Views,Last_Upload_Date
RileyGamingLive,Brazil,Call of Duty,,6599,10016664,302,33167,8,1,9,2795,480,9.87,German,962956,04-05-2025
EmmaGamingNetwork,Russia,Battlefield,,2389,506961,302,1678,1,1,2,166,8,10.37,Indonesian,40245,30-04-2025
NoahGamingEsports,France,Minecraft,Call of Duty,8402,17672717,292,60523,8,1,4,6629,1214,12.96,Japanese,2663826,28-06-2025
LiamPlaysTV,China,Hearthstone,Minecraft,34093,61932393,297,208526,6,2,26,19435,5325,11.87,English,3213010,09-04-2025
NoahPlaysTV,China,Apex Legends,Overwatch,2049,3392479,309,10978,4,1,14,382,227,5.55,Russian,363175,26-06-2025
NoahPlaysPlays,Germany,League of Legends,,2049,3335228,294,11344,12,1,11,1196,279,13,Korean,529086,21-04-2025
ChrisTVChannel,South Korea,Overwatch,,37299,131974565,291,453520,8,4,20,37124,11336,10.69,Korean,4650019,09-08-2025
EmmaGamingHighlights,Japan,League of Legends,,10177,11934482,324,36834,3,1,8,2981,967,10.72,Hindi,415272,31-05-2025
RileyGamingTV,USA,FIFA,Mobile Legends,1406,2110083,321,6573,4,1,15,737,76,12.37,Japanese,50613,09-08-2025
AlexGamingNetwork,UK,Esports News,,7101,3794578,328,11568,6,1,12,519,309,7.16,Portuguese,171409,24-06-2025
OliviaGamingNetwork,South Korea,Minecraft,FIFA,1420,933112,292,3195,11,2,15,140,68,6.51,German,93629,02-04-2025
TaylorGamingGaming,Spain,CS:GO Classics,,1414,3140691,288,10905,7,5,10,777,133,8.34,Korean,194212,02-07-2025
AlexGamingEsports,Mexico,Fortnite,Esports News,4390,7698484,308,24995,4,1,6,2376,741,12.47,Portuguese,721042,03-07-2025
NoahGamingHighlights,Turkey,Call of Duty,Sim Racing,500,625997,323,1938,4,3,7,125,55,9.29,Filipino,48807,02-07-2025
JordanTVGaming,Philippines,Hearthstone,Rocket League,500,510844,320,1596,7,3,7,133,30,10.21,English,43865,20-07-2025
TaylorTVGaming,Pakistan,Call of Duty,,1212,659817,300,2199,6,3,12,143,57,9.1,Spanish,104875,02-07-2025
JordanTVLive,France,Rocket League,,589,2363658,331,7140,11,7,3,578,82,9.24,Russian,85213,04-03-2025
JordanTVPlays,Brazil,Teamfight Tactics,FIFA,4928,14775982,298,49583,8,7,5,5068,763,11.76,Korean,1695346,04-05-2025
NoahGamingTV,Philippines,Apex Legends,Roblox,697,88964,326,272,1,1,13,10,2,4.41,Korean,6743,03-07-2025
AlexGamingHighlights,China,Mobile Legends,PUBG Mobile,500,313428,302,1037,10,2,11,92,18,10.61,Spanish,35899,14-06-2025
OliviaGamingNetwork,UK,Counter-Strike 2,Rocket League,31102,79963347,310,257946,11,4,13,25470,4488,11.61,German,7921798,14-07-2025
SamGamingHighlights,China,Fighting Games,,2077,4539416,295,15387,7,7,12,995,158,7.49,English,589367,20-07-2025
JordanPlaysPlays,Turkey,FIFA,Counter-Strike 2,3321,14653623,293,50012,12,5,27,2616,1091,7.41,English,1381340,26-07-2025
SamGamingHighlights,China,Fortnite,,500,1450663,341,4254,7,1,13,90,33,2.89,Portuguese,151803,21-07-2025
SamGamingNetwork,Spain,CS:GO Classics,,1247,4454483,334,13336,11,1,10,1329,87,10.62,Korean,497344,28-06-2025
ChrisPlaysGaming,Thailand,Rainbow Six Siege,Hearthstone,3559,2488715,317,7850,7,4,13,414,114,6.73,Korean,82804,19-07-2025
TaylorPlaysPlays,Turkey,Counter-Strike 2,,500,1250066,324,3858,7,2,18,215,58,7.08,Indonesian,178993,21-04-2025
TaylorPlaysPlays,Philippines,CS:GO Classics,,5437,26797857,292,91773,10,3,12,4919,1192,6.66,Russian,3375407,25-06-2025
NoahTVPlays,Vietnam,Battlefield,,1140,5215648,326,15998,10,3,16,1117,183,8.13,Hindi,106317,18-07-2025
SamTVGaming,UK,Mobile Legends,League of Legends,1869,6612537,305,21680,8,1,14,1956,292,10.37,Russian,939222,21-05-2025
RileyTVNetwork,Thailand,TFT,Fortnite,1138,1904772,303,6286,9,7,10,610,57,10.61,Russian,70126,02-07-2025
EmmaTVChannel,South Korea,Counter-Strike 2,,57736,201538599,312,645957,9,7,13,38277,9745,7.43,Filipino,19472961,02-08-2025
RileyGamingClips,Vietnam,League of Legends,FIFA,2917,2526101,282,8957,2,2,22,773,247,11.39,Spanish,152534,04-08-2025
SamPlaysClips,Philippines,Mobile Legends,,548,1362726,310,4395,7,3,13,404,46,10.24,Indonesian,130252,07-08-2025
EmmaTVGaming,Thailand,Esports News,Overwatch,11115,12662980,297,42636,7,3,6,2118,942,7.18,Filipino,1902879,26-07-2025
AlexTVHighlights,Indonesia,Minecraft,Roblox,500,958450,311,3081,4,1,10,91,26,3.8,Spanish,137882,25-06-2025
LiamTVOfficial,Turkey,Battlefield,,4163,9474232,341,27783,9,1,2,3041,384,12.33,Russian,1103833,25-07-2025
OliviaPlaysChannel,Pakistan,Counter-Strike 2,Mobile Legends,500,433650,306,1417,8,0.5,13,124,18,10.02,Hindi,58248,09-08-2025
OliviaGamingNetwork,France,League of Legends,Valorant,500,596400,325,1835,12,7,20,155,52,11.28,Japanese,48389,18-06-2025
SamTVGaming,Turkey,Call of Duty,Valorant,4084,1394210,287,4857,1,2,4,125,76,4.14,Russian,212164,21-04-2025
JordanTVHighlights,UK,Sim Racing,Valorant,9716,4799108,313,15332,2,1,13,1560,341,12.4,Spanish,374397,18-05-2025
TaylorTVChannel,France,Fighting Games,Rocket League,3921,725524,323,2246,2,2,18,172,45,9.66,Russian,26952,07-08-2025
ChrisTVGaming,Thailand,Grand Theft Auto V,League of Legends,2477,11389168,285,39961,12,1,19,4187,340,11.33,Hindi,1802305,18-06-2025
OliviaTVOfficial,Turkey,Teamfight Tactics,,1841,9051011,297,30474,12,1,20,3579,868,14.59,Portuguese,733157,27-05-2025
NoahGamingClips,Vietnam,Esports News,Dota 2,500,2070403,315,6572,11,2,2,760,89,12.92,German,202665,10-04-2025
JordanPlaysOfficial,Vietnam,Minecraft,,942,1062707,303,3507,8,2,15,370,21,11.15,Indonesian,112476,12-02-2025
EmmaGamingPlays,France,Fighting Games,,1426,513928,317,1621,1,3,3,34,20,3.33,Spanish,9642,07-06-2025
JordanPlaysGaming,Indonesia,Minecraft,,16177,3547633,319,11121,4,3,6,1207,148,12.18,Portuguese,211201,29-05-2025
TaylorGamingGaming,Brazil,Overwatch,,5165,9674068,310,31206,10,3,17,858,228,3.48,Spanish,599843,07-07-2025
SamGamingTV,Spain,Mobile Legends,Apex Legends,500,1376818,309,4455,12,2,13,468,91,12.55,Russian,162174,10-07-2025
AlexGamingNetwork,Turkey,CS:GO Classics,Call of Duty,5006,10659304,325,32797,5,3,16,1574,448,6.17,Russian,1131726,01-08-2025
EmmaPlaysTV,Thailand,TFT,Rainbow Six Siege,1609,3268035,305,10714,9,2,6,867,222,10.16,Indonesian,530003,03-06-2025
JordanPlaysEsports,Malaysia,Rainbow Six Siege,,1009,388968,286,1360,7,2,21,32,7,2.87,Korean,50443,19-05-2025
TaylorPlaysEsports,France,Roblox,,7932,13234122,335,39504,8,2,16,3836,1167,12.66,Japanese,501339,03-07-2025
AlexTVNetwork,South Korea,Apex Legends,,15515,46850246,322,145497,11,2,17,4535,1347,4.04,Hindi,2705587,08-08-2025
JordanPlaysGaming,Germany,CS:GO Classics,,13227,56789719,299,189932,9,1,6,11598,4080,8.25,Russian,1902882,31-07-2025
ChrisTVChannel,Indonesia,CS:GO Classics,TFT,778,2578492,286,9015,7,1,19,917,206,12.46,Russian,391037,27-04-2025
RileyTVHighlights,Philippines,Fighting Games,,1817,1193708,330,3617,5,2,10,323,33,9.84,Hindi,154092,15-07-2025
EmmaGamingNetwork,UK,Teamfight Tactics,PUBG Mobile,5064,3375559,314,10750,5,3,8,221,83,2.83,Filipino,492911,05-05-2025
NoahPlaysChannel,Japan,Overwatch,,14198,17537604,273,64240,10,2,16,3873,566,6.91,Spanish,2162847,02-06-2025
RileyTVPlays,Philippines,League of Legends,Counter-Strike 2,1384,6165946,332,18572,11,10,15,449,207,3.53,English,276823,11-07-2025
TaylorGamingOfficial,South Korea,Battlefield,Grand Theft Auto V,2214,700198,280,2500,6,3,7,218,23,9.64,Indonesian,112601,05-08-2025
LiamTVHighlights,Turkey,Counter-Strike 2,Sim Racing,507,271827,301,903,5,7,24,105,19,13.73,Portuguese,13626,08-08-2025
NoahTVPlays,South Korea,Counter-Strike 2,,500,1752491,330,5310,12,3,23,454,82,10.09,English,108513,27-06-2025
OliviaTVOfficial,France,Minecraft,,10938,19419677,343,56617,11,1,16,2402,1044,6.09,Hindi,172674,05-08-2025
TaylorGamingLive,Turkey,Call of Duty,TFT,26107,21513307,320,67229,9,10,15,3732,415,6.17,Korean,1999664,02-08-2025
RileyGamingTV,Canada,TFT,TFT,2656,1688778,306,5518,3,7,14,649,146,14.41,English,126402,02-07-2025
NoahTVTV,Turkey,Valorant,Rocket League,14848,7723636,338,22850,3,2,3,968,211,5.16,Portuguese,756316,12-04-2025
